智慧長照 AI 陪伴系統｜Story Map v1.2
,,,,,,,,,
產品策略：完整 Target Architecture 一次規劃到位；實作依風險與相依順序分 Wave 交付。第一條可演示薄切片跨 Wave 1 與最小 Wave 2，確保長者語音 → 事件／確認式記憶 → 再次引用 → 每日摘要 → 照護者時間軸與覆核能同時證明命題 A／B／C。,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Implementation Wave,核心目標,Product Stories,Enablers／NFR,交付 Gate,,命題範圍,Story Map 落點,第一條 Demo 證據,完成判定
Wave 1,核心語音＋事件＋確認式記憶＋Graph 再次引用,11,21,記憶閉環可重跑,,核心 A｜語音陪伴,開始語音互動＋理解與安全回應,國語／臺語對話與第二輪記憶引用,非固定腳本、可重試
Wave 3,RAG、陪伴需求、家屬報表與通知、主動陪伴與英文,18.0,7.0,可信關懷閉環可追溯,,核心 B｜生活摘要,擷取事件＋摘要與照護者檢視,結構化事件與 AI 每日摘要,可追溯來源事件
Wave 3,RAG、陪伴需求、家屬通知、主動陪伴與英文,18,7,可信關懷閉環可追溯,,核心 C｜照護者介面,摘要檢視＋覆核與關懷行動,詳情頁、時間軸、互動次數、修正,權限正確、可操作
Wave 4,遊戲、積分、本土低資源語言、ASR 適應與持續改善,5,2,擴充能力不破壞核心,,進階｜知識庫,理解與安全回應,來源過濾與引用,不足證據時不補完
,,,,,,進階｜家屬通知,家屬與主動陪伴,實際送出一次摘要通知,同意、靜默與重送
,,,,,,進階｜事件時間軸,再次引用與生活回顧,事件與摘要回到來源,去重且可篩選
第一條 Demo Gate,15 個 Product Stories 的跨 Wave 薄切片,15.0,TE-J01／J03／J04、MA01／MA02、GR01～GR03、VO01、H04／H06,完整跑通 A／B／C＋失敗路徑,,加分｜低資源語言,開始語音互動,核心穩定後展示客語／原民語,不得破壞主流程
,,,,,,,,,
使用方式
1,先讀 01_Story Map：確認 Backbone 與 Wave,,,,4,再用 04_Enablers_NFR 補齊非功能工作,,,
2,以 02_Story Backlog 作為 Product Story 單一清單,,,,5,用 05_Demo Traceability 檢查命題與交付,,,
3,先打通 03_Wave1 Vertical Slice，再擴大 Wave 2,,,,6,Owner／狀態欄保持可編輯，分工後再填,,,
來源,https://docs.google.com/document/d/1qb89I23zD8GJFzead_R_G6fXq2CZWgEsKBK7Q4o_F8A,,,,命題檔,hackathon_challenge_ai_readable (1).json,,,

Demo Persona 與場域,場域,語言,主要用途,Demo 範圍
林阿嬤,幸福日照中心,臺語／國臺混語,語音、事件、記憶、Graph、摘要與覆核,主要端到端 Demo
張阿姨,幸福日照中心,國語；客語待穩定度決定,多長者概覽、空狀態、資料隔離,輔助畫面與權限證據
陳伯伯,居家服務,國語,居服員派案／服務詳情、家屬每日／週／月報表與跨場域權限,權限與家屬端技術證據
場域決策,Target Architecture 支援日照與居家；主要 Live Demo 採日照中心。三位 Persona 不需各自重跑完整主線。,,,
家屬端決策,App／Web 保存正式報表；LINE／Email 為通知與導流通路。,每日摘要、週報、月報、歷史事件、通知設定,只顯示已發布且已授權內容,不具專業覆核、記憶管理與待辦權限














































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































