第一條端到端 Vertical Slice｜核心記憶＋日照概覽＋最小專業照護者閉環
,,,,,,,,,
目標：先用最薄的 Wave 2 畫面把 A／B／C 串起來。Gate 通過條件：林阿嬤完成語音、事件、記憶、Graph、再次引用與每日摘要；日照照服員從林阿嬤、張阿姨概覽進入林阿嬤詳情並覆核。居服員派案入口與家屬 App／Web 報表、LINE／Email 通知列為 Wave 3／權限技術證據，不要求重跑林阿嬤主線。,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
順序,Actor,使用者／系統步驟,系統行為,Stories／Requirements,主要元件／Agent,資料／狀態,完成證據,失敗／安全處理,Owner
1.0,長者,進入虛擬 Persona 並確認資料用途,載入語言、稱呼、記憶與家屬通知同意,US-A06；NFR-H06,Identity／Consent,persona_id、consent_version,同意狀態可回讀；僅使用模擬資料,拒絕長期記憶時仍可繼續基本陪伴,
2.0,長者,按一次大按鈕開始說話,顯示錄音狀態並取得語音,US-A01,Web／Audio Capture,audio_session_id,桌面與行動裝置均可完成,未授權麥克風時白話引導,
3.0,系統,辨識國語／臺語／混語內容,Speech Router 選擇 ASR 並輸出 final transcript,US-A02；TE-VO01,Speech Router／ASR,transcript、confidence、model_version,固定語音測試集可重跑；保留關鍵人物與日期,低信心時要求重說，不假裝理解,
4.0,系統,路由至 Companion 與 Memory 流程,Orchestrator 依版本化 Intent／Policy 執行固定節點,TE-J01；TE-MA01,Orchestrator,trace_id、intent、policy_version,單輪同步 Agent 步驟不超過 3,逾時或節點失敗走安全降級,
5.0,AI,產生簡短、符合語言偏好的回覆,只注入必要情境與已確認記憶,US-A03；US-A04；TE-J02,Companion Agent,context_bundle、draft_response,回覆不超過三個重點；未確認資訊不當事實,無可信資料時明確說不知道,
6.0,系統,擷取生活事件與候選記憶,以固定 Schema 產出人物、活動、時間、關係與來源,US-B01；US-D01,Memory Agent,event_candidate、memory_candidate,Schema 驗證通過；保留來源句與信心,用藥只記長者陳述，不推論正確性,
7.0,系統,驗證輸出與醫療邊界,顯示、TTS、寫入前通過 Safety Evaluator,TE-J03；TE-MA02；NFR-H04,Safety Evaluator,safety_result、reason_codes,安全規則測試通過並保存 trace,修正最多一次，再失敗使用固定安全回覆,
8.0,長者,確認是否保存重要記憶,以短句詢問；接受、拒絕或稍後處理,US-D02,Companion／Memory,confirmation_status,拒絕時不建立正式記憶,辨識不清時不寫入,
9.0,系統,寫入交易事實並建立 Outbox,RDS 保存正式狀態；同一事件具冪等鍵,TE-GR03,RDS／Transactional Outbox,event_id、memory_id、idempotency_key,重送不產生重複資料,失敗可重試並進入 DLQ,
10.0,系統,同步人物、事件與關係投影,只把已確認或已覆核資料寫入 Graph DB,TE-GR01；TE-GR02,Graph Projector／Graph DB,node、edge、source_event_id,可跑兩層關係查詢並回到來源事件,禁止未保護雙寫與跨 elder 查詢,
11.0,長者,下一輪對話被自然再次引用,檢索少量相關已確認記憶後生成回覆,US-D03；US-A04,Memory Retrieval／Companion,retrieved_memory_ids,只引用同一位長者的 active 記憶,查不到時不虛構,
12.0,系統,日終產生結構化生活摘要,彙整已記錄事件，未提及欄位保持未提及,US-B02,Summary Workflow,daily_summary、source_event_ids,可追溯到事件；非人工填寫,排程失敗重試並告警,
13.0,機構照服員,查看幸福日照中心的多長者概覽並選擇林阿嬤,只顯示同 tenant 且已授權的林阿嬤與張阿姨；顯示最後互動、互動次數、摘要狀態與待覆核數量,US-C01；NFR-H01,Caregiver Web／Authorization,elder_list、tenant_id、authorization_scope,可由概覽點擊林阿嬤進入詳情；居家服務員／居服員帳號不顯示多長者概覽,未授權或不同 tenant 長者不得出現在列表、搜尋與統計中,
14.0,照護者,查看長者詳情與事件時間軸,顯示基本資料、摘要、互動次數、記憶與事件證據,US-C02；US-B04,Caregiver Web,elder_view、timeline,核心 A/B/C 同一條 Demo 流程可見,權限不足不顯示資料,
15.0,照護者,覆核或修正 AI 擷取結果,更新事件、排除原因與 review_status,US-B03,Review Workflow,review_status、correction,更正後摘要／Graph 投影可重建,保留修改人、時間與版本,
16.0,團隊／評審,查看技術證據,展示 ASR 指標、Agent trace、Graph 查詢與安全攔截,TE-I03；TE-J04；NFR-Q04,Observability／Eval,metrics、trace_id、test_case_id,可重複演示正常與失敗路徑,日誌不保存不必要完整逐字稿,



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































