Requirement ID,類型,命題／交付要求,權重／加分,Product Stories,Enablers／NFR,Demo／文件證據,目前狀態,Owner
CORE-A1,必做核心 A,至少支援中文及臺語之一即時語音對話,,US-A01～A03,TE-VO01；TE-I01；TE-I03,現場語音對話＋ASR 報告,待實作,
CORE-A2,必做核心 A,長者以口語互動，無需文字輸入或複雜觸控,,US-A01,NFR-Q01,一鍵錄音與語音回覆,待實作,
CORE-A3,必做核心 A,依時間、天氣、過往記憶調整回應,,US-A04；US-D03,TE-J02；TE-GR01～GR02,第二輪引用已確認記憶,待實作,
CORE-A4,必做核心 A,不得只是固定腳本式回覆,,US-A04,TE-J01；TE-MA01,動態 Context＋生成式回覆 trace,待實作,
CORE-B1,必做核心 B,自動擷取飲食、活動、睡眠、用藥等生活資訊,,US-B01,TE-J03,結構化事件與來源句,待實作,
CORE-B2,必做核心 B,每日自動生成結構化生活摘要,,US-B02,NFR-Q03,排程生成摘要,待實作,
CORE-B3,必做核心 B,摘要供照護人員快速掌握近況,,US-B02；US-C02,NFR-Q01,照護者詳情頁,待實作,
CORE-B4,必做核心 B,摘要由 AI 自動歸納，非人工填寫,,US-B02,TE-J01；TE-J03,摘要來源 event_id,待實作,
CORE-C1,必做核心 C,後台包含長者基本資料,,US-C01；US-C02,NFR-H01,多長者概覽 → 點擊林阿嬤 → 長者詳情頁,待實作,
CORE-C2,必做核心 C,後台包含 AI 每日摘要,,US-C02；US-B02,NFR-Q03,摘要歷史,待實作,
CORE-C3,必做核心 C,後台包含互動次數,,US-C01；US-C02,TE-J04,幸福日照中心的林阿嬤與張阿姨顯示不同今日互動次數,待實作,
ADV-KB,進階模組,知識庫建置與可信衛教回應,,US-E01～E04,TE-G01～G03,來源、Chunk、檢索與引用,待實作,
ADV-PUSH,進階模組,定時發布摘要並透過 LINE／Email 通知家屬,,US-C03,TE-PRO01；NFR-Q03,家屬 App／Web 先顯示正式摘要，再實際送出一次通知,待實作,
FAMILY-REPORT,產品能力,家屬可在 App／Web 查看每日摘要、週報、月報與歷史重要事件,,US-C05,NFR-H01～H03；NFR-Q03,Published 報表、歷史列表、資料不足、撤回授權與跨 elder 阻擋,待實作,
ADV-TIMELINE,進階模組,以時間軸檢視每日事件與重要紀錄,,US-B04；US-C02,TE-GR01～GR03,事件時間軸＋來源,待實作,
BONUS-LANG,加分,支援客語或原住民族語等本土低資源語言,5%,US-A02,TE-VO01；TE-I02～I03,穩定後展示客語語音或文字互動,Wave 4,
BONUS-KIRO,加分,使用 Kiro 進行開發或架構設計,5%,—,開發流程與 README 證據,Kiro 規格／紀錄／畫面,待實作,
PII-1,隱私,不得使用真實長者個人資料,,US-A06,NFR-H06,林阿嬤、張阿姨、陳伯伯三位虛擬 Persona,待驗證,
PII-2,隱私,展示資料為模擬或去識別化資料,,US-A06,NFR-H06,Demo 資料清單,待驗證,
PII-3,隱私,說明蒐集、儲存、傳輸加密與存取控制,,US-A06,NFR-H01～H02,架構圖＋權限測試,待驗證,
PII-4,隱私,語音／對話需同意機制與資料保留政策,,US-A06；US-D04,NFR-H03,同意畫面＋刪除測試,待驗證,
MED-1,醫療邊界,僅供生活陪伴與健康資訊參考,,US-E03；US-F02,NFR-H04,固定非診斷提示,待驗證,
MED-2,醫療邊界,不得提供醫療診斷或治療建議,,US-F02；US-K02,NFR-H04～H05,紅隊案例攔截,待驗證,
SCORE-30,評分,完成度與 Demo 體驗,30%,Gate 1 薄切片,NFR-Q01,同一情境完整跑通 A／B／C,核心 Gate,
SCORE-25F,評分,技術可行性,25%,US-D02～D03；US-B02,TE-J01～J04；TE-GR03,可重試、可追蹤、可部署,核心 Gate,
SCORE-25I,評分,AI 記憶、多語言、個人化等創意,25%,US-D01～D04；US-N01～N07,TE-GR01～GR02；TE-VO01,確認式記憶＋Graph＋主動陪伴,差異化,
SCORE-20,評分,社會應用性與真實旅程,20%,US-B01～B04；US-C01～C05；US-K01～K03,NFR-H01～H06,長者＋專業照護者＋家屬資訊閉環,核心 Gate,
DELIV-1,最終交付,Live Demo：完整使用者情境,,Gate 1 薄切片,TE-J04,可重跑的現場情境,待完成,
DELIV-2,最終交付,生成式 AI 技術與資料應用說明,,全部核心故事,TE-J01～J05；TE-G01～G04,技術說明頁,待完成,
DELIV-3,最終交付,長者＋專業照護者＋家屬端到端使用者旅程,,US-A01→US-C01→US-C02,—,Persona 文件＋Story Map＋UX Flow,本文件完成 Story Map,
AUTH-1,權限,跨 Persona／tenant 資料與介面隔離,,US-C01；US-C02；US-D03,NFR-H01；TE-GR02,機構帳號只看林阿嬤／張阿姨；居服員只看有效派案長者；家屬只看已授權報表；跨 elder 查詢被拒絕,待驗證,
DELIV-5,最終交付,AWS 部署架構設計圖,,—,全部 Technical Enablers,架構圖,下一階段,
DELIV-6,最終交付,GitHub 原始碼與 README,,—,DoD／Release,Repo、部署與操作說明,待完成,







































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































