Story ID,EPIC,主要角色,Backbone Activity,Story 標題,使用者故事／價值,Product Priority,Implementation Wave,命題對應,Demo Gate 1,關鍵驗收 1,關鍵驗收 2,主要相依,備註／切片策略
US-A01,EPIC A｜長者語音互動陪伴,長者,開始語音互動,低操作負擔的語音入口,身為長者，我希望用一個明顯的大按鈕就能開始說話，讓我不必打字或操作複雜介面。,MUST SHIP,Wave 1,核心 A｜語音互動陪伴,是,首頁可在一個主要操作內開始錄音。,錄音、處理、播放與錯誤狀態都有清楚的視覺及語音提示。,US-A06,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-A02,EPIC A｜長者語音互動陪伴,長者,開始語音互動,國語與臺語語音辨識,身為習慣國語、臺語或國臺混語的長者，我希望系統聽得懂我的說法，讓我不必刻意改用標準國語。,MUST SHIP,Wave 1,核心 A｜語音互動陪伴,是,系統可依語言偏好或自動判斷選擇適當 ASR 路徑。,Demo 測試集至少涵蓋國語、臺語及一組國臺混語。,US-A01；TE-VO01；TE-I01,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-A03,EPIC A｜長者語音互動陪伴,長者,開始語音互動,符合語言偏好的語音回覆,身為長者，我希望 AI 用我熟悉的語言、稱呼與回覆長度回應，讓對話自然且容易理解。,MUST SHIP,Wave 1,核心 A｜語音互動陪伴,是,Persona 可設定主要語言、稱呼方式及預設回覆長度。,回覆預設不超過三個重點，避免過長語音造成理解負擔。,US-A02,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-A04,EPIC A｜長者語音互動陪伴,長者,理解與安全回應,情境感知對話,身為長者，我希望 AI 能理解現在的時間、近期事件與我已確認的偏好，讓它不像固定腳本。,MUST SHIP,Wave 1,核心 A｜語音互動陪伴,是,每輪只注入與當前問題相關的時間、情境、近期摘要及已確認記憶。,未確認的候選記憶及陪伴需求推估不得當成事實使用。,US-D03；TE-J02,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-A05,EPIC A｜長者語音互動陪伴,長者,開始語音互動,對話失敗的安全降級,身為長者，我希望系統聽不清楚或服務暫時失敗時仍能簡單引導我，避免我以為自己操作錯誤。,MUST SHIP,Wave 1,核心 A｜語音互動陪伴,是,ASR、LLM 或 TTS 逾時時提供簡短且可重試的提示。,同一輪最多自動重試一次，不得無限循環。,US-A01；TE-J04,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-A06,EPIC A｜長者語音互動陪伴,長者,設定與同意,分層同意與資料用途控制,身為長者，我希望知道系統會保存與分析什麼，並能分別決定是否同意。,MUST SHIP,Wave 1,核心 A｜語音互動陪伴,是,第一次使用前以白話說明錄音、逐字稿、生活事件、長期記憶、陪伴需求分析、家屬通知及資料保存期限。,使用者可分別同意或拒絕長期記憶、陪伴需求分析與家屬通知。,NFR-H01～H03,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-A07,EPIC A｜長者語音互動陪伴,長者,再次引用與生活回顧,週期生活回顧,身為長者，我希望用語音詢問最近一週的生活情況，了解自己的睡眠、飲食、活動與社交紀錄。,COMMITTED INNOVATION,Wave 2,核心 A｜語音互動陪伴,否,長者可用生活化語句查詢最近七日紀錄。,結果同時提供文字及語音。,US-B02；US-D03,依 Wave 交付
US-B01,EPIC B｜生活記錄與每日摘要,照護者,擷取生活事件,自動擷取結構化生活與社交事件,身為照護者，我希望系統自動從對話中擷取飲食、活動、睡眠、用藥陳述、情緒表達與社交事件，減少人工抄寫。,MUST SHIP,Wave 1,核心 B｜生活記錄與智慧摘要,是,事件輸出通過固定 Schema 驗證後才能寫入正式資料庫。,用藥欄位只記錄「長者陳述」，不得推論服藥是否正確。,US-A02；TE-J03,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-B02,EPIC B｜生活記錄與每日摘要,照護者,摘要與照護者檢視,每日 AI 摘要,身為照護者，我希望每天看到一份精簡且可追溯的生活摘要，快速掌握長者近況。,MUST SHIP,Wave 2,核心 B｜生活記錄與智慧摘要,是,摘要涵蓋飲食、活動、睡眠、用藥陳述、社交互動及重要事件。,沒有資料的欄位明確標示「未提及」。,US-B01；US-B03,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-B03,EPIC B｜生活記錄與每日摘要,照護者,確認與管理記憶,照護者修正與覆核,身為照護者，我希望修正 AI 擷取錯誤，讓後續摘要、記憶與陪伴需求分析更可靠。,MUST SHIP,Wave 2,核心 B｜生活記錄與智慧摘要,是,後台可編輯事件內容、事件類型、事件時間及 review_status。,可標記 ASR 聽錯、事件誤判、裝置故障、外出或其他排除原因。,US-B01；TE-GR03,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-B04,EPIC B｜生活記錄與每日摘要,照護者,再次引用與生活回顧,事件時間軸,身為照護者，我希望按時間查看長者的重要互動與生活事件，快速理解變化。,COMMITTED INNOVATION,Wave 2,核心 B｜生活記錄與智慧摘要,是,可依日期、事件類型、來源及審查狀態篩選。,同一事件不因重新摘要而重複顯示。,US-B01；US-B03,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-C01,EPIC C｜照護者與家屬介面,專業照護人員,摘要與專業照護者檢視,專業照護者概覽與派案入口,身為專業照護人員，我希望依工作場域看到同據點長者或被派案長者的摘要、行程與待處理事項，降低切換與交接成本。,MUST SHIP,Wave 2,核心 C｜照護者資訊介面,是,日照模式顯示最後互動、今日互動、摘要與待覆核；居服模式顯示今日服務時段、派案狀態、上次服務摘要與待追蹤事項。,Demo 至少顯示林阿嬤與張阿姨；居服員只顯示有效派案長者，未授權資料不得出現在列表、搜尋或統計。,US-B02；US-C02；NFR-H01,Demo Gate 1 只演日照薄版本；居服派案入口以陳伯伯作權限與 UX 證據。
US-C02,EPIC C｜照護者與家屬介面,專業照護人員,摘要與專業照護者檢視,長者詳情頁,身為專業照護人員，我希望查看被授權長者的基本資料、每日摘要、時間軸、已確認記憶及陪伴需求訊號。,MUST SHIP,Wave 2,核心 C｜照護者資訊介面,是,頁面明確區分基本資料、AI 擷取事件、已確認記憶、陪伴需求訊號及衛教內容。,由日照長者卡、居服服務行程或單一有效派案進入時可直接開啟詳情，但不得放寬 elder_id／tenant_id／assignment 權限。,US-B02；US-B04；US-D03；NFR-H01,共用詳情元件；依日照照服員、居服員角色收斂欄位與操作。
US-C03,EPIC C｜照護者與家屬介面,家屬,家屬報表、通知與主動陪伴,家屬摘要發布與 LINE／Email 通知,身為家屬，我希望系統先將經授權的近況保存於家屬端，再依偏好透過 LINE／Email 通知我查看。,MUST SHIP,Wave 3,進階｜家屬推播通知,否,Demo 先發布一筆正式摘要至家屬 App／Web，再實際透過 LINE 或 Email 送出通知。,App／Web、LINE 與 Email 共用 report_id；通知失敗不影響已發布報表。,US-A06；US-B02；US-C05；TE-PRO01,LINE／Email 為通知通路，不是正式資料保存來源。
US-C04,EPIC C｜照護者與家屬介面,專業照護人員,覆核與關懷行動,關懷待辦與追蹤,身為專業照護人員，我希望把需要關心的事件轉成可追蹤待辦，避免重要事項只停留在摘要中。,MUST SHIP,Wave 2,核心 C｜照護者資訊介面,否,可建立聯繫長者、確認家屬聯繫、邀請活動及設定追蹤日期等待辦。,每項待辦顯示觸發原因、相關事件、建立者、期限及狀態。,US-C02；US-B03,依角色與派案／據點權限限制操作。
US-C05,EPIC C｜照護者與家屬介面,家屬,家屬報表、通知與主動陪伴,家屬每日摘要與週／月報表中心,身為經授權的家屬，我希望在 App／Web 查看每日摘要、每週與每月報表及歷史重要事件，持續了解長者近況。,MUST SHIP,Wave 3,核心 C／進階｜家屬資訊介面,否,只顯示 Published 且在分享授權範圍內的報表；沒有資料時標示未提及或資料不足。,報表保存 report_id、期間、版本、來源事件、發布狀態與時間；家屬不得查看逐字稿、未覆核事件或專業內部資料。,US-A06；US-B02；US-C03；NFR-H01～H03,家屬端保存正式資料；撤回授權後停止新報表、通知與安全連結存取。
US-D01,EPIC D｜確認式 AI 長期記憶,長者,擷取生活事件,產生候選記憶,身為長者，我希望 AI 能記得我的偏好與生活習慣，但不要將每句話都永久保存。,MUST SHIP,Wave 1,核心 A/B｜情境記憶＋生活資料,是,僅針對穩定偏好、重要關係與固定作息產生候選記憶。,一般閒聊、一次性事件、敏感健康推測及陪伴需求推估，不得直接轉為長期記憶。,US-B01；TE-J03,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-D02,EPIC D｜確認式 AI 長期記憶,長者,確認與管理記憶,確認後才保存,身為長者，我希望 AI 在記錄重要事項前先詢問我的意見。,MUST SHIP,Wave 1,核心 A/B｜情境記憶＋生活資料,是,系統須以簡短問題詢問使用者是否同意保存。,若長者拒絕，系統不得將該內容寫入長期記憶。,US-D01；US-A06,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-D03,EPIC D｜確認式 AI 長期記憶,長者,再次引用與生活回顧,記憶檢索與個人化回應,身為長者，我希望 AI 在適當時機引用已確認記憶，避免重複詢問已知資訊。,MUST SHIP,Wave 1,核心 A/B｜情境記憶＋生活資料,是,僅檢索與當前對話相關的少量已確認記憶。,引用內容必須嚴格屬於同一位長者，嚴禁跨使用者資料洩漏。,US-D02；TE-GR01,先做最薄可演示版本，再依原 Wave 擴充完整驗收
US-D04,EPIC D｜確認式 AI 長期記憶,長者／授權照護者,確認與管理記憶,更正、停用與刪除記憶,身為長者或授權照護者，我希望能夠更正或刪除錯誤的記憶內容。,MUST SHIP,Wave 1,核心 A/B｜情境記憶＋生活資料,否,後台系統須提供檢視、更正、停用及刪除記憶的操作介面。,已刪除或停用的記憶不得再次被檢索或於對話中使用。,US-D02；TE-GR03,依 Wave 交付
