ID,分類,標題,Implementation Wave,Product Priority,主要支援階段,支援 Stories／能力,關鍵規則 1,關鍵規則 2,完成證據,Owner,Status
TE-G01,資料治理／RAG,可信來源登錄,Wave 3,MUST SHIP,可信知識／治理,US-E02、E03、L04,每個來源建立 manifest 或 Structured Record。,至少記錄來源機關、標題、版本／日期、地區、授權、公開來源資訊與審查狀態。,來源登錄、版本、Chunk／Policy 證據,,待實作
TE-G02,資料治理／RAG,文件切片與審查,Wave 3,MUST SHIP,可信知識／治理,US-E02、E03、E04,流程為來源登錄、解析清理、切片、Metadata、審查、Embedding／Index。,Sheet 不存完整 chunk_text，只保存檔名、索引及審查資訊。,來源登錄、版本、Chunk／Policy 證據,,待實作
TE-G03,資料治理／RAG,版本與失效管理,Wave 3,COMMITTED INNOVATION,可信知識／治理,US-E02、E03,Chunk 可追溯至來源文件版本。,來源更新後可重建索引並標記舊版本失效。,來源登錄、版本、Chunk／Policy 證據,,待實作
TE-G04,資料治理／RAG,量表與分析規則版本管理,Wave 3,COMMITTED INNOVATION,覆核與關懷行動,US-K02～K04,保存量表或規則的來源、名稱、版本、語言、適用族群、施測方式、計分規則、授權狀態、審查狀態及生效日期。,量表說明文件可進入 RAG；正式題目與計分規則另存於結構化 Policy Registry。,來源登錄、版本、Chunk／Policy 證據,,待實作
TE-I01,ASR 測試／適應,建立長者語音測試集,Wave 1,MUST SHIP,開始語音互動,US-A02,測試集依語言、說話者、語速、噪音及混語情境分層。,訓練、驗證及測試說話者不得不當重疊。,測試集、指標報告或模型版本,,待實作
TE-I02,ASR 測試／適應,長者語音 ASR 適應,Wave 4,COMMITTED INNOVATION,開始語音互動,US-A02,保存訓練資料版本、模型產物、超參數、Checkpoint 及程式版本。,優先採黑客松時限內可完成的方法。,測試集、指標報告或模型版本,,待實作
TE-I03,ASR 測試／適應,ASR 品質報告,Wave 1,MUST SHIP,開始語音互動,US-A02；Demo 證據,至少報告 CER、WER、關鍵事件保留率與代表性失敗案例。,依國語、臺語及混語情境切分結果。,測試集、指標報告或模型版本,,待實作
TE-I04,ASR 測試／適應,即時與批次推論分流,Wave 4,BONUS IF STABLE,開始語音互動,US-A02；離線評估,即時對話使用低延遲推論路徑。,大量測試音檔可使用離線批次流程。,測試集、指標報告或模型版本,,待實作
TE-J01,Workflow／可觀測性,受控 Multi-Agent 與確定性工作流協調,Wave 1,MUST SHIP,理解與安全回應,A／B／D／E／K／N 流程,Orchestrator 依意圖路由至 Companion、Memory、Knowledge、Care Insight 等專責 Agent；Agent 不進行自由協商。,每個節點有明確輸入、輸出、Schema、權限、逾時、重試及失敗處理。,trace、Schema、安全與失敗路徑,,待實作
TE-J02,Workflow／可觀測性,Context Engineering,Wave 1,MUST SHIP,理解與安全回應,US-A04、D03、E03、N03,Context 由 System Prompt、Persona、近期摘要、已確認記憶、情境及檢索結果動態組成。,不把全部逐字稿、全部記憶或整份 PDF 塞入模型。,trace、Schema、安全與失敗路徑,,待實作
TE-J03,Workflow／可觀測性,輸出驗證與安全檢查,Wave 1,MUST SHIP,理解與安全回應,所有顯示、寫入與通知,結構化輸出必須通過 Schema 驗證。,對話回覆需經醫療邊界、安全與敏感資料檢查。,trace、Schema、安全與失敗路徑,,待實作
TE-J04,Workflow／可觀測性,監控與追蹤,Wave 1,MUST SHIP,全旅程,所有核心故事,記錄延遲、錯誤率、ASR 失敗、檢索空結果、模型逾時、訊號分析失敗及通知失敗。,日誌不得直接保存完整敏感逐字稿。,trace、Schema、安全與失敗路徑,,待實作
TE-J05,Workflow／可觀測性,陪伴需求背景分析工作流,Wave 3,MUST SHIP,覆核與關懷行動,US-K01～K04,每日或每週由排程觸發。,Agent 預設讀取結構化事件與互動統計，不無限制讀取全部逐字稿。,trace、Schema、安全與失敗路徑,,待實作
TE-MA01,受控 Multi-Agent,Orchestrator 與專責 Agent 路由,Wave 1,MUST SHIP,理解與安全回應,A／B／D／E／K／N 流程,Orchestrator 只依版本化 Intent／Policy 路由至 Companion、Memory、Knowledge、Care Insight 與 Safety Evaluator。,每個 Agent 僅能使用白名單 Tool、最小必要資料與明確 JSON Schema。,trace、Schema、安全與失敗路徑,,待實作
TE-MA02,受控 Multi-Agent,Safety Evaluator 與輸出閘門,Wave 1,MUST SHIP,理解與安全回應,所有顯示、寫入與通知,對話顯示、TTS 播放、家屬通知、正式寫入與高風險行動前，均須通過適用的安全與權限檢查。,Evaluator 失敗最多修正一次，再失敗使用安全降級內容並保留 trace。,trace、Schema、安全與失敗路徑,,待實作
TE-GR01,資料治理／RAG,確認式人物、事件與關係 Graph,Wave 1,COMMITTED INNOVATION,確認與管理記憶,US-D02、D03、B04,只有已確認人物／偏好／關係與已覆核事件，才能寫入 Graph DB 的正式投影。,RDS 保存同意、權限、任務、正式狀態與交易紀錄；Graph DB 保存人物、事件、偏好與關係投影，RDS 為交易事實來源。,來源登錄、版本、Chunk／Policy 證據,,待實作
TE-GR02,資料治理／RAG,關係查詢與可證明的 Graph 價值,Wave 1,COMMITTED INNOVATION,再次引用與生活回顧,US-D03、K02、N03,至少實作一個兩層關係查詢，例如「林阿嬤 → 女兒小美 → 每週日通話 → 最近未聯絡」。,查詢只回傳同一 tenant／elder 權限範圍內的 active 關係，並可追溯到來源事件。,來源登錄、版本、Chunk／Policy 證據,,待實作
TE-GR03,資料治理／RAG,RDS 與 Graph DB 一致性,Wave 1,MUST SHIP,確認與管理記憶,US-D04、B03,以 Transactional Outbox、冪等鍵、重試與 dead-letter queue 將 RDS 事件同步為 Graph 投影，禁止無保護雙寫。,記憶或事件更正、停用、撤回與刪除時，同步更新 Graph node／edge 與搜尋索引。,來源登錄、版本、Chunk／Policy 證據,,待實作
TE-VO01,多語語音,多語 Speech Router,Wave 1,MUST SHIP,開始語音互動,US-A02、A03、N04,依 Persona 偏好、長者明確切換指令與 Session 狀態選擇 ASR／TTS 路徑，不為每句短語重新偵測語言。,國語、臺語、客語與英文共用相同 Agent、記憶、安全與資料治理流程；差異只存在於語音供應者、模型與評估資料。,語言切換與語音測試,,待實作
TE-PRO01,主動互動狀態機,Trigger／Eligibility／Follow-up 狀態機,Wave 3,COMMITTED INNOVATION,家屬與主動陪伴,US-N01～N07、C03,Trigger、Eligibility、Session、Topic、Follow-up 與 Care Action 都有 owner、狀態、expires_at、idempotency_key 與版本。,排程、日期、頻率、重試、取消與權限由確定性程式控制，LLM 只負責語意理解與自然語言生成。,狀態、冪等、排程與取消測試,,待實作
NFR-H01,安全／隱私／醫療邊界,角色權限與資料隔離,Wave 1,MUST SHIP,全旅程,角色權限與資料隔離,每筆資料依 elder_id、tenant_id 與角色權限隔離。,任一使用者不得透過搜尋、報表或 API 取得其他長者資料。,權限、隱私、安全與紅隊測試,,待實作
NFR-H02,安全／隱私／醫療邊界,傳輸與儲存保護,Wave 1,MUST SHIP,全旅程,資料傳輸與儲存,API 全程使用 HTTPS。,主要儲存與必要日誌使用加密機制。,權限、隱私、安全與紅隊測試,,待實作
NFR-H03,安全／隱私／醫療邊界,資料保留、衍生資料與刪除,Wave 1,MUST SHIP,設定與同意,US-A06、D04,分別定義錄音、逐字稿、事件、摘要、記憶、陪伴需求訊號、量表回答、待辦及稽核資料的保存期限。,刪除請求同步處理主要儲存、搜尋索引、記憶資料及衍生分析結果。,權限、隱私、安全與紅隊測試,,待實作
NFR-H04,安全／隱私／醫療邊界,醫療安全護欄,Wave 1,MUST SHIP,理解與安全回應,所有生成式輸出,攔截診斷、停藥、改藥、治療決策及未經驗證的疾病機率描述。,不得輸出「已確診重度孤獨」「有百分之多少機率憂鬱」等診斷式內容。,權限、隱私、安全與紅隊測試,,待實作
NFR-H05,安全／隱私／醫療邊界,一般關懷與緊急事件分流,Wave 1,MUST SHIP,覆核與關懷行動,US-K02、K03,一般孤單表達、活動下降與互動變化進入照護者覆核流程。,明確即刻危險、跌倒或無法求助等內容進入固定安全指引與人工求助流程。,權限、隱私、安全與紅隊測試,,待實作
NFR-H06,安全／隱私／醫療邊界,展示資料去識別化,Wave 1,MUST SHIP,全旅程,Demo 資料,使用二至三位虛擬 Persona，不使用真實長者個資。,音檔、姓名、電話、地址及健康資訊均為模擬或去識別化資料。,權限、隱私、安全與紅隊測試,,待實作
NFR-Q01,效能／評估門檻,語音與頁面效能,Wave 1,MUST SHIP,全旅程,語音與頁面效能,語音結束至 ASR final：P95 不高於 2.5 秒；ASR timeout 5 秒。,Agent 產生首段可播放內容：P95 不高於 5 秒；LLM timeout 10 秒。,P50／P95、失敗率與固定評估集,,待實作
NFR-Q02,效能／評估門檻,Context、Agent 與 Graph 限制,Wave 1,MUST SHIP,理解與安全回應,Agent、Context、Graph,每輪最多帶入 8 筆已確認記憶與 12 筆近期事件；超出時依相關性與新鮮度截斷。,同一輪最多三個同步 Agent 步驟，超出部分改為非同步，不建立無上限遞迴。,P50／P95、失敗率與固定評估集,,待實作
NFR-Q03,效能／評估門檻,背景工作、通知與刪除,Wave 2–3,MUST SHIP,摘要／通知,US-B02、C03、D04,每日摘要在排程後 15 分鐘內完成；失敗最多重試三次，之後進入 dead-letter queue 並告警。,家屬通知最多重送三次，使用退避策略；仍失敗時顯示人工處理狀態，不得重複發送成功訊息。,P50／P95、失敗率與固定評估集,,待實作
NFR-Q04,效能／評估門檻,評估資料最低門檻,Wave 1,MUST SHIP,全旅程,評估與 Demo Gate,Demo 固定測試至少包含 3 位虛擬 Persona、每種核心語言 30 句、正常／噪音／混語／否定／日期人物事件案例。,ASR 報告至少包含 CER、WER、Key-slot Accuracy、Negation Accuracy、關鍵事件保留率及 final latency。,P50／P95、失敗率與固定評估集,,待實作









































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































